record_id,material_name,material_class,sensor_architecture,sensing_target,measurement_type,measurement_value,measurement_unit,source_id,source_url,doi,raw_file,extraction_confidence,notes
rec_wang_2022_uio66_shift_80ppm_web_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,6.88,nm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/web/rsc_wang_2022_uio66_pc.html,high,Publisher HTML concentration-response text; spectral shift at 80 ppm chlorobenzene vapor.
rec_wang_2022_uio66_shift_160ppm_web_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,13.04,nm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/web/rsc_wang_2022_uio66_pc.html,high,Publisher HTML concentration-response text; spectral shift at 160 ppm chlorobenzene vapor.
rec_wang_2022_uio66_shift_240ppm_web_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,17.78,nm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/web/rsc_wang_2022_uio66_pc.html,high,Publisher HTML concentration-response text; spectral shift at 240 ppm chlorobenzene vapor.
rec_wang_2022_uio66_shift_320ppm_web_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,22.53,nm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/web/rsc_wang_2022_uio66_pc.html,high,Publisher HTML concentration-response text; spectral shift at 320 ppm chlorobenzene vapor.
rec_wang_2022_uio66_shift_400ppm_web_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,wavelength_shift,26.08,nm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/web/rsc_wang_2022_uio66_pc.html,high,Publisher HTML concentration-response text; spectral shift at 400 ppm chlorobenzene vapor.
rec_nazeri_2020_hcpcf_sensor_c_helium_shift_web_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",helium gas,wavelength_shift,1300,pm,paper_nazeri_2020_hcpcf_mzi_gas,https://pmc.ncbi.nlm.nih.gov/articles/PMC7284782/,10.3390/s20102807,data/raw/web/pmc_nazeri_2020_hcpcf_mzi.html,high,PMC HTML Table 1; spectral shift for sensor C relative to nitrogen exposure.
rec_nazeri_2020_hcpcf_sensor_c_methane_shift_web_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",methane gas,wavelength_shift,-618,pm,paper_nazeri_2020_hcpcf_mzi_gas,https://pmc.ncbi.nlm.nih.gov/articles/PMC7284782/,10.3390/s20102807,data/raw/web/pmc_nazeri_2020_hcpcf_mzi.html,high,PMC HTML Table 1; negative spectral shift for sensor C relative to nitrogen exposure.
rec_nazeri_2020_hcpcf_sensor_c_argon_shift_web_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",argon gas,wavelength_shift,100,pm,paper_nazeri_2020_hcpcf_mzi_gas,https://pmc.ncbi.nlm.nih.gov/articles/PMC7284782/,10.3390/s20102807,data/raw/web/pmc_nazeri_2020_hcpcf_mzi.html,high,PMC HTML Table 1; positive argon spectral shift for sensor C relative to nitrogen exposure.
rec_shaban_2017_au_1dpc_spr_res_sensitivity_web_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal microfluidic sensor,environmental refractive index,sensitivity,48.56,nm/RIU,paper_shaban_2017_plasmonic_1d_pc,https://pmc.ncbi.nlm.nih.gov/articles/PMC5296759/,10.1038/srep41983,data/raw/web/pmc_shaban_2017_plasmonic_1d_pc.html,high,PMC HTML sensitivity for the surface-plasmon-resonance wavelength lambda_res.
rec_shaban_2017_au_1dpc_left_edge_sensitivity_web_001,Au/1D photonic crystal,plasmonic/photonic hybrid,gold-coated one-dimensional photonic crystal microfluidic sensor,environmental refractive index,sensitivity,46.73,nm/RIU,paper_shaban_2017_plasmonic_1d_pc,https://pmc.ncbi.nlm.nih.gov/articles/PMC5296759/,10.1038/srep41983,data/raw/web/pmc_shaban_2017_plasmonic_1d_pc.html,high,PMC HTML sensitivity for the left photonic-bandgap edge lambda_L.
rec_zaky_2020_tamm_baseline_sensitivity_web_001,Tamm-state 1D photonic crystal,1D photonic crystal,prism-coupled Tamm-state one-dimensional photonic crystal gas sensor,gas refractive index,sensitivity,2600,nm/RIU,paper_zaky_2020_tamm_1d_pc_gas,https://pmc.ncbi.nlm.nih.gov/articles/PMC7297992/,10.1038/s41598-020-66427-6,data/raw/web/pmc_zaky_2020_tamm_1d_pc.html,high,"PMC HTML; theoretical non-optimized example at normal incidence with d_gas=4000 nm, d_m=30 nm, and N=8."
rec_zaky_2020_tamm_gas_layer_sensitivity_web_001,Tamm-state 1D photonic crystal,1D photonic crystal,prism-coupled Tamm-state one-dimensional photonic crystal gas sensor,gas refractive index,sensitivity,3100,nm/RIU,paper_zaky_2020_tamm_1d_pc_gas,https://pmc.ncbi.nlm.nih.gov/articles/PMC7297992/,10.1038/s41598-020-66427-6,data/raw/web/pmc_zaky_2020_tamm_1d_pc.html,high,PMC HTML; theoretical sensitivity after increasing the gas-layer thickness to 10000 nm before later global optimization.
