record_id,material_name,material_class,sensor_architecture,sensing_target,measurement_type,measurement_value,measurement_unit,source_id,source_url,doi,raw_file,extraction_confidence,notes
rec_dolci_2025_fiber_tip_bulk_sensitivity_001,fiber-tip photonic crystal,nanophotonic resonator,dual-channel fiber-tip photonic crystal biosensor,bulk refractive index,sensitivity,269.0,nm/RIU,paper_dolci_2025_fiber_tip_pc_biosensing,https://doi.org/10.1016/j.biosx.2024.100573,10.1016/j.biosx.2024.100573,data/raw/pdf/fernandez_regules_2024_fiber_tip_photonic_crystal_biosensing.pdf,high,Automatically extracted from page 5; sensor channel reported before reference channel.
rec_dolci_2025_fiber_tip_anti_igg_lod_001,fiber-tip photonic crystal,nanophotonic resonator,dual-channel fiber-tip photonic crystal biosensor in continuous flow,anti-IgG in undiluted serum,limit_of_detection,60.0,pM,paper_dolci_2025_fiber_tip_pc_biosensing,https://doi.org/10.1016/j.biosx.2024.100573,10.1016/j.biosx.2024.100573,data/raw/pdf/fernandez_regules_2024_fiber_tip_photonic_crystal_biosensing.pdf,high,Automatically extracted from page 6; equivalent mass concentration reported as 9 ng/mL.
rec_lin_2018_seira_co2_lod_001,Au nanopatch array with ZIF-8 MOF film,plasmonic/photonic hybrid,suspended Si3N4 nanomembrane on-chip SEIRA gas sensor,CO2 gas,limit_of_detection,52.0,ppm,paper_lin_2018_seira_on_chip_gas,https://doi.org/10.1021/acssensors.7b00891,10.1021/acssensors.7b00891,data/raw/pdf/lin_2018_surface_enhanced_infrared_on_chip_gas_sensing.pdf,high,Automatically extracted from page 7; extrapolated for a 4 mm absorption path.
rec_lin_2018_seira_q_factor_001,Au nanopatch array with ZIF-8 MOF film,plasmonic/photonic hybrid,suspended Si3N4 nanomembrane on-chip SEIRA gas sensor,CO2 gas,quality_factor,12.3,dimensionless,paper_lin_2018_seira_on_chip_gas,https://doi.org/10.1021/acssensors.7b00891,10.1021/acssensors.7b00891,data/raw/pdf/lin_2018_surface_enhanced_infrared_on_chip_gas_sensing.pdf,high,Automatically extracted from page 7; measured experimental spectrum.
rec_nazeri_2020_hcpcf_sensor_c_sensitivity_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",gas refractive index,sensitivity,4629.0,nm/RIU,paper_nazeri_2020_hcpcf_mzi_gas,https://www.mdpi.com/1424-8220/20/10/2807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Automatically extracted from page 9; RI range 1.0000347-1.000436.
rec_nazeri_2020_hcpcf_sensor_c_resolution_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor C, 3.30 mm HC-PCF length",gas refractive index,resolution,2.1e-07,RIU,paper_nazeri_2020_hcpcf_mzi_gas,https://www.mdpi.com/1424-8220/20/10/2807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Automatically extracted from page 10; evidence: sensor C (sensitivity of 4629 nm/RIU) has a RI resolution of 2.1 E-7
rec_nazeri_2020_hcpcf_sensor_a_methane_response_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor A, 4.97 mm HC-PCF length",methane gas,response_time,32.0,s,paper_nazeri_2020_hcpcf_mzi_gas,https://www.mdpi.com/1424-8220/20/10/2807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Automatically extracted from page 11; first methane pair in Table 3 is sensor A.
rec_nazeri_2020_hcpcf_sensor_a_methane_recovery_001,hollow-core photonic crystal fiber,photonic crystal fiber,"HC-PCF Mach-Zehnder interferometer sensor A, 4.97 mm HC-PCF length",methane gas,recovery_time,39.0,s,paper_nazeri_2020_hcpcf_mzi_gas,https://www.mdpi.com/1424-8220/20/10/2807,10.3390/s20102807,data/raw/pdf/nazeri_2020_hollow_core_pcf_mzi_gas_sensing.pdf,high,Automatically extracted from page 11; first methane pair in Table 3 is sensor A.
rec_wang_2022_uio66_sensitivity_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,sensitivity,0.06,nm/ppm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,Automatically extracted from page 6; fitted slope evidence: concentration sensitivity (S) of the UiO-66 3D PC optical sensor toward C6H5Cl was 0.06 nm ppm
rec_wang_2022_uio66_lod_001,UiO-66 3D photonic crystal,MOF-based photonic crystal,3D photonic crystal vapor sensor,chlorobenzene vapor,limit_of_detection,1.64,ppm,paper_wang_2022_uio66_pc,https://pubs.rsc.org/en/content/articlehtml/2022/ra/d2ra05494a,10.1039/D2RA05494A,data/raw/pdf/rsc_2022_uio66_3d_photonic_crystal_optical_sensor.pdf,high,"Automatically extracted from page 6; evidence: LOD ¼ 3s S (4) s ¼ ffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffiffi X n i¼1  li  l 2 n  2 v u u u t (5) where S is the sensitivity, and s is the standard deviation, lorigin and ldet are the original and detection wavelengths, Corigin and Cdet are the original and detected concentrations, respectively. At the spectral resolution of 0.1 nm,28 the LOD of the UiO-66 3D PC optical sensor toward C6H5Cl was 1.64 ppm"
